
2024/05/24/20:33:45,32.88
2024/05/24/20:34:07,32.410
2024/05/24/20:34:18,32.180
2024/05/24/20:34:29,32.272
2024/05/24/20:34:40,32.594
2024/05/24/20:34:51,32.410
2024/05/24/20:35:02,32.180
2024/05/24/20:35:13,32.364
2024/05/24/20:35:24,32.364
2024/05/24/20:35:35,32.364
2024/05/24/20:35:46,32.180
2024/05/24/20:35:57,32.640
2024/05/24/20:36:08,32.502
2024/05/24/20:36:19,32.134
2024/05/24/20:36:30,32.364
2024/05/24/20:36:41,32.364
2024/05/24/20:36:52,31.674
2024/05/24/20:37:03,31.720
2024/05/24/20:37:14,31.904
2024/05/24/20:37:25,31.628
2024/05/24/20:37:36,31.582
2024/05/24/20:37:47,31.812
2024/05/24/20:37:58,31.996
2024/05/24/20:38:09,31.858
2024/05/24/20:38:20,31.582
2024/05/24/20:38:31,31.674
2024/05/24/20:38:42,32.88
2024/05/24/20:38:53,31.858
2024/05/24/20:39:04,31.950
2024/05/24/20:39:15,31.766
2024/05/24/20:39:26,31.812
2024/05/24/20:39:37,31.720
2024/05/24/20:39:48,31.766
2024/05/24/20:39:59,31.904
2024/05/24/20:40:10,31.674
2024/05/24/20:40:21,32.134
2024/05/24/20:40:32,31.950
2024/05/24/20:40:43,31.996
2024/05/24/20:40:54,31.812
2024/05/24/20:41:05,31.858
2024/05/24/20:41:16,31.628
2024/05/24/20:41:27,32.226
2024/05/24/20:41:38,31.858
2024/05/24/20:41:49,31.904
2024/05/24/20:42:00,32.88
2024/05/24/20:42:11,32.88
2024/05/24/20:42:22,31.858
2024/05/24/20:42:33,31.766
2024/05/24/20:42:44,32.42
2024/05/24/20:42:55,31.720
2024/05/24/20:43:06,31.720
2024/05/24/20:43:17,31.904
2024/05/24/20:43:28,31.996
2024/05/24/20:43:39,31.766
2024/05/24/20:43:50,31.858
2024/05/24/20:44:01,31.720
2024/05/24/20:44:12,31.950
2024/05/24/20:44:23,31.674
2024/05/24/20:44:34,31.858
2024/05/24/20:44:45,31.812
2024/05/24/20:44:56,31.950
2024/05/24/20:45:07,31.812
2024/05/24/20:45:18,31.766
2024/05/24/20:45:29,31.812
2024/05/24/20:45:40,31.858
2024/05/24/20:45:51,32.42
2024/05/24/20:46:02,31.950
2024/05/24/20:46:13,31.950
2024/05/24/20:46:24,31.720
2024/05/24/20:46:35,31.720
2024/05/24/20:46:46,31.996
2024/05/24/20:46:57,32.502
2024/05/24/20:47:08,31.720
2024/05/24/20:47:19,31.536
2024/05/24/20:47:30,32.88
2024/05/24/20:47:41,31.904
2024/05/24/20:47:52,31.950
2024/05/24/20:48:03,31.996
2024/05/24/20:48:14,31.674
2024/05/24/20:48:25,31.950
2024/05/24/20:48:36,32.180
2024/05/24/20:48:47,31.812
2024/05/24/20:48:58,31.812
2024/05/24/20:49:09,31.996
2024/05/24/20:49:20,31.858
2024/05/24/20:49:31,31.904
2024/05/24/20:49:42,32.88
2024/05/24/20:49:53,31.904
2024/05/24/20:50:04,31.766
2024/05/24/20:50:15,31.720
2024/05/24/20:50:26,31.858
2024/05/24/20:50:37,32.134
2024/05/24/20:50:48,32.134
2024/05/24/20:50:59,31.858
2024/05/24/20:51:10,31.674
2024/05/24/20:51:21,31.904
2024/05/24/20:51:32,32.42
2024/05/24/20:51:43,31.766
2024/05/24/20:51:54,31.766
2024/05/24/20:52:05,32.42
2024/05/24/20:52:16,31.674
2024/05/24/20:52:27,31.950
2024/05/24/20:52:38,32.180
2024/05/24/20:52:49,32.42
2024/05/24/20:53:00,31.582
2024/05/24/20:53:11,31.812
2024/05/24/20:53:22,31.766
2024/05/24/20:53:33,32.42
2024/05/24/20:53:44,31.812
2024/05/24/20:53:55,31.720
2024/05/24/20:54:06,31.306
2024/05/24/20:54:17,31.858
2024/05/24/20:54:28,31.950
2024/05/24/20:54:39,31.950
2024/05/24/20:54:50,31.996
2024/05/24/20:55:01,31.628
2024/05/24/20:55:12,31.812
2024/05/24/20:55:23,31.674
2024/05/24/20:55:34,32.226
2024/05/24/20:55:45,31.720
2024/05/24/20:55:56,31.812
2024/05/24/20:56:07,31.582
2024/05/24/20:56:18,31.628
2024/05/24/20:56:29,31.904
2024/05/24/20:56:40,31.720
2024/05/24/20:56:51,31.996
2024/05/24/20:57:02,31.858
2024/05/24/20:57:13,32.134
2024/05/24/20:57:24,32.502
2024/05/24/20:57:35,31.904
2024/05/24/20:57:46,32.134
2024/05/24/20:57:57,31.812
2024/05/24/20:58:08,31.904
2024/05/24/20:58:19,32.134
2024/05/24/20:58:30,31.996
2024/05/24/20:58:41,31.858
2024/05/24/20:58:52,31.398
2024/05/24/20:59:03,31.720
2024/05/24/20:59:14,31.812
2024/05/24/20:59:25,32.134
2024/05/24/20:59:36,31.904
2024/05/24/20:59:47,31.950
2024/05/24/20:59:58,31.674
2024/05/24/21:00:09,31.950
2024/05/24/21:00:20,31.582
2024/05/24/21:00:31,31.996
2024/05/24/21:00:42,31.720
2024/05/24/21:00:53,31.766
2024/05/24/21:01:04,32.42
2024/05/24/21:01:15,32.42
2024/05/24/21:01:26,31.628
2024/05/24/21:01:37,31.904
2024/05/24/21:01:48,31.674
2024/05/24/21:01:59,31.904
2024/05/24/21:02:10,31.766
2024/05/24/21:02:21,32.180
2024/05/24/21:02:32,31.904
2024/05/24/21:02:43,32.42
2024/05/24/21:02:54,31.858
2024/05/24/21:03:05,31.904
2024/05/24/21:03:16,31.950
2024/05/24/21:03:27,32.88
2024/05/24/21:03:38,31.904
2024/05/24/21:03:49,32.88
2024/05/24/21:04:00,31.950
2024/05/24/21:04:11,31.766
